Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Toward a constraint-satisfaction framework for evaluating program-understanding algorithms,A. Quilici; S. Woods,"Dept. of Electr. Eng., Hawaii Univ., Honolulu, HI, USA; NA",WPC '96. 4th Workshop on Program Comprehension,,1996,,,55,64,"Different program understanding algorithms often use different representational frameworks and take advantage of numerous heuristic tricks. This situation makes it difficult to compare these approaches and their performance. The paper addresses this problem by proposing constraint satisfaction as a general framework for describing program understanding algorithms, demonstrating how to transform a relatively complex existing program understanding algorithm into an instance of a constraint satisfaction problem, and showing how this facilitates better understanding of its performance.",1092-8138,0-8186-7283,10.1109/WPC.1996.501121,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=501121,,Libraries;Performance analysis;Algorithm design and analysis;Indexing;Computer science;Distributed computing;Scalability;Heuristic algorithms;Decoding,reverse engineering;heuristic programming;constraint handling;constraint theory,constraint satisfaction framework;program understanding algorithm evaluation;representational frameworks;heuristic tricks,,6,21,,,,,IEEE,IEEE Conferences
PUI: a tool to support program understanding,Pui-Shan Chan; M. Munro,"Visualization Res. Group, Durham Univ., UK; NA",Proceedings Fifth International Workshop on Program Comprehension. IWPC'97,,1997,,,192,198,"Static analysis tools are useful in extracting information from programs. Maintainers are more likely to be overloaded with information extracted from these analysis tools as programs grow in size. This paper outlines some of the theories and strategies of program comprehension and describes how the various strategies can be realised by a simple browsing tool, PUI (Program Understanding Implement), which allows maintainers to understand the relationships between program elements. The tool is based on a matrix of program relations designed to reflect the multi-dimensional nature of programs. This work is centred on the C programming language.",1092-8138,0-8186-7993,10.1109/WPC.1997.601293,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=601293,,Information analysis;Data mining;Computer languages;Switches;Visualization;Software maintenance;DH-HEMTs;Documentation;Information resources;Control systems,software tools;reverse engineering;program diagnostics;software maintenance;C language;computer aided software engineering,PUI;Program Understanding Implement;static analysis tool;program information extraction;software maintenance;program comprehension;browsing tool;program element relationships;program relations matrix;multi-dimensional programs;C programming language,,3,14,,,,,IEEE,IEEE Conferences
Integrated hypertext and program understanding tools,P. Brown,"IBM Enterprise Systems Division, Sterling Forest, P.O. Box 700, Suffern, New York 10901, USA",IBM Systems Journal,,1991,30,3,363,392,"This paper describes some concepts and issues related to software tools integration. Questions regarding data integration and functional integration between tools are identified and discussed. Some techniques for handling large volumes of data are briefly described. A prototype tool is described in which hypertext links are automatically created between program analysis data and hypertext documentation. With this tool, end users can freely move between source code views and related documentation. A common annotation feature lets software developers and information developers share information and synchronize maintenance activities in a single tools environment.",0018-8670,,10.1147/sj.303.0363,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5387485,,,,,,9,,,,,,IBM,IBM Journals
An Eye-Tracking Study of Java Programmers and Application to Source Code Summarization,P. Rodeghero; C. Liu; P. W. McBurney; C. McMillan,"Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN",IEEE Transactions on Software Engineering,,2015,41,11,1038,1054,"Source Code Summarization is an emerging technology for automatically generating brief descriptions of code. Current summarization techniques work by selecting a subset of the statements and keywords from the code, and then including information from those statements and keywords in the summary. The quality of the summary depends heavily on the process of selecting the subset: a high-quality selection would contain the same statements and keywords that a programmer would choose. Unfortunately, little evidence exists about the statements and keywords that programmers view as important when they summarize source code. In this paper, we present an eye-tracking study of 10 professional Java programmers in which the programmers read Java methods and wrote English summaries of those methods. We apply the findings to build a novel summarization tool. Then, we evaluate this tool. Finally, we further analyze the programmers' method summaries to explore specific keyword usage and provide evidence to support the development of source code summarization systems.",0098-5589;1939-3520;2326-3881,,10.1109/TSE.2015.2442238,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7118751,Source code summaries;program comprehension;Source code summaries;program comprehension,Java;Software;Documentation;Navigation;XML;Software engineering,Java;program compilers;source code (software),eye-tracking study;Java programmer;source code summarization;code generation,,9,75,,,,,IEEE,IEEE Journals
Automatic Source Code Summarization of Context for Java Methods,P. W. McBurney; C. McMillan,"College of Computer Science and Engineering, University Notre Dame, Notre Dame, IN; Computer Science, University of Notre Dame, South Bend, VA",IEEE Transactions on Software Engineering,,2016,42,2,103,119,"Source code summarization is the task of creating readable summaries that describe the functionality of software. Source code summarization is a critical component of documentation generation, for example as Javadocs formed from short paragraphs attached to each method in a Java program. At present, a majority of source code summarization is manual, in that the paragraphs are written by human experts. However, new automated technologies are becoming feasible. These automated techniques have been shown to be effective in select situations, though a key weakness is that they do not explain the source code's context. That is, they can describe the behavior of a Java method, but not why the method exists or what role it plays in the software. In this paper, we propose a source code summarization technique that writes English descriptions of Java methods by analyzing how those methods are invoked. We then performed two user studies to evaluate our approach. First, we compared our generated summaries to summaries written manually by experts. Then, we compared our summaries to summaries written by a state-of-the-art automatic summarization tool. We found that while our approach does not reach the quality of human-written summaries, we do improve over the state-of-the-art summarization tool in several dimensions by a statistically-significant margin.",0098-5589;1939-3520;2326-3881,,10.1109/TSE.2015.2465386,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7181703,Source code summarization;automatic documentation;program comprehension;Source code summarization;automatic documentation;program comprehension,Context;Documentation;Java;Natural languages;Software;Generators;XML,Java;object-oriented methods,source code summarization technique;Java methods;software functionality;documentation generation;Javadocs;Java program;user studies;automatic summarization tool;human-written summaries,,18,51,,,,,IEEE,IEEE Journals
Entity based source code summarization (EBSCS),Chitti babu K; Kavitha C.; SankarRam N,"Dept. of. CSE, RMKCET, Chennai, India; Dept. of. CSE, RMKCET, Chennai, India; Dept. of. CSE, RMKCET, Chennai, India",2016 3rd International Conference on Advanced Computing and Communication Systems (ICACCS),,2016,1,,1,5,"In the software evolution process a developer must analyze the source code in order to understand the entities in it. In general this analysis is done manually which takes lots of time and is a tedious task. The other option is to use automated source code summarization techniques. Existing techniques does not provide the required summary and most of them are complex. Source code summarization is the task of creating readable summaries that describe the functionality of software. Source code summarization is a critical component of documentation generation. In this paper we propose a novel summarization technique called EBSCS which is based on the entities like packages, classes, methods control statements and comments in the source code. In this technique description is generated for the entities and the comment lines are used to generate summary for the source code.",,978-1-4673-9206-8978-1-4673-9207,10.1109/ICACCS.2016.7586385,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7586385,Source code entities;Source code summarization;Textual clues;source code comprehension,Documentation;Semantics;Communication systems;Software maintenance;Generators;Conferences,software engineering;source code (software);system documentation,entity based source code summarization;EBSCS;software evolution;software functionality;documentation generation,,,14,,,,,IEEE,IEEE Conferences
IDE-independent program comprehension tools via source file overwriting,M. Sulír; J. Porubän; O. Zoricák,"Department of Computers and Informatics, Faculty of Electrical Engineering and Informatics, Technical University of Košice Letná 9, 042 00 Košice, Slovakia; Department of Computers and Informatics, Faculty of Electrical Engineering and Informatics, Technical University of Košice Letná 9, 042 00 Košice, Slovakia; Department of Computers and Informatics, Faculty of Electrical Engineering and Informatics, Technical University of Košice Letná 9, 042 00 Košice, Slovakia",2017 IEEE 14th International Scientific Conference on Informatics,,2017,,,372,376,"Traditionally, we have two possibilities to design tools for program comprehension and analysis. The first option is to create a standalone program, independent of any source code editor. This way, the act of source code editing is separated from the act of viewing the code analysis results. The second option is to create a plugin for a specific IDE (integrated development environment) - in this case, a separate version must be created for each IDE. We propose an approach where information about source code elements is written directly into source files as annotations or special comments. Before committing to a version control system, the annotations are removed from the source code to avoid code pollution. We briefly evaluate the approach and delineate its limitations.",,978-1-5386-0889-0978-1-5386-0888-3978-1-5386-0890,10.1109/INFORMATICS.2017.8327277,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8327277,,Tools;Metadata;Java;Control systems;Measurement;Informatics;Computers,configuration management;programming environments;software tools;source code (software),IDE-independent program comprehension tools;design tools;standalone program;source code editor;source code editing;code analysis results;integrated development environment;source file overwriting;version control system,,1,18,,,,,IEEE,IEEE Conferences
Enabling program comprehension through a visual object-focused development environment,F. Olivero; M. Lanza; M. D'Ambros; R. Robbes,"REVEAL @ Faculty of Informatics - University of Lugano, Switzerland; REVEAL @ Faculty of Informatics - University of Lugano, Switzerland; REVEAL @ Faculty of Informatics - University of Lugano, Switzerland; PLEIAD@DCC - University of Chile, Chile",2011 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),,2011,,,127,134,"Integrated development environments (IDEs) include many tools that provide the means to construct programs. Coincidentally, the very same IDEs are a primary vehicle for program comprehension. We claim that IDEs may be an impediment for program comprehension because they treat software elements as text, which may be counterproductive in the context of program understanding-where abstracting from the source text to the level of structural entities and relationships is the key. We are currently building Gaucho, a visual object-focused environment that allows developers to write programs by creating and manipulating lightweight and intuitive depictions of object-oriented constructs. The research question we investigate here is how such an environment compares with traditional IDEs when it comes to performing program comprehension tasks. To answer our question, we conducted a preliminary controlled experiment with eight subjects, comparing Gaucho against a traditional IDE. We found that Gaucho outperforms the IDE regarding the correctness of the tasks, while it is slower with respect to the completion time. Our preliminary results suggest that alternative-visual-IDEs may be superior to traditional IDEs as program comprehension aids.",1943-6106;1943-6092;1943-6092,978-1-4577-1247-0978-1-4577-1246-3978-1-4577-1244,10.1109/VLHCC.2011.6070389,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6070389,,Shape;Navigation;Visualization;Software;Programming;Object oriented modeling;Layout,object-oriented methods;software maintenance,program comprehension;visual object-focused development environment;integrated development environment;program understanding context;Gaucho environment;object-oriented constructs,,4,25,,,,,IEEE,IEEE Conferences
Effort estimation for program comprehension,P. Fiore; F. Lanubile; G. Visaggio,"Basica spa, Bari, Italy; NA; NA",WPC '96. 4th Workshop on Program Comprehension,,1996,,,78,87,"The study presents an experience of deriving an econometric model for software comprehension; this process is necessary for the renovation of existing software systems. The model uses data on the process and products. The aim of the econometric model is to minimize the risks when forecasting the budget and time needed to carry out the project. After having obtained the basic model, the correction factors which could reduce the risk or error of the forecast are considered. In particular, one factor, the suitability of the tool for the processes, requires such marked correction that the basic model is divided into two, one for each type of process (automatic or semiautomatic). All the models have the code lines of the existing program as independent variables; the model for semiautomatic processes uses the number of modules to be extracted as a regulator of the risk of forecasting error.",1092-8138,0-8186-7283,10.1109/WPC.1996.501123,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=501123,,Predictive models;Economic forecasting;Econometrics;Reverse engineering;Error correction;Electronic mail;Software systems;Regulators;Investments;Humans,reverse engineering;software reusability;economic cybernetics;software management;project management,effort estimation;program comprehension;econometric model;software comprehension;software systems renovation;correction factors;marked correction;code lines;independent variables;semiautomatic processes;forecasting error risk,,3,21,,,,,IEEE,IEEE Conferences
DOCKET: program comprehension-in-the-large,P. J. Layzell; R. Champion; M. J. Freeman,"Dept. of Comput., Univ. of Manchester, Inst. of Sci. & Technol., UK; Dept. of Comput., Univ. of Manchester, Inst. of Sci. & Technol., UK; Dept. of Comput., Univ. of Manchester, Inst. of Sci. & Technol., UK",[1993] IEEE Second Workshop on Program Comprehension,,1993,,,140,148,"With the growing awareness of the importance of software maintenance, has come a re-evaluation of software maintenance tools. Such tools range from source code analysers to semi-intelligent tools which seek to reconstruct systems designs and specification documents from source code. However, it is clear that relying solely upon source code as the basis for reverse engineering has many problems. This paper proposes the need for program comprehension-in-the-large and describes the work of the Esprit DOCKET project which seeks to provide such a support capability. The DOCKET project has developed a prototype environment to support the development of a system model linking user-oriented, business aspects of a system, to operational code using a variety of knowledge source inputs: code, documents and user expertise. The aim is to provide a coherent model to form the basis for system and program understanding and to support the software change and evolution process.<<ETX>>",1092-8138,0-8186-4042,10.1109/WPC.1993.263897,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=263897,,Software maintenance;Documentation;Humans;Reverse engineering;Software engineering;Computer industry;Software tools;Software systems;Software prototyping;Prototypes,software maintenance;software tools,DOCKET;program comprehension-in-the-large;software maintenance;maintenance tools;source code analysers;semi-intelligent tools;specification documents;business aspects;operational code;knowledge source;program understanding;software change;evolution process,,8,6,,,,,IEEE,IEEE Conferences
Detecting and comparing brain activity in short program comprehension using EEG,M. K. -. Yeh; D. Gopstein; Y. Yan; Y. Zhuang,"College of Information Sciences and Technology, Penn State University, Brandywine; Department of Computer Science and Engineering, New York University; College of Education, Penn State University, University Park; Department of Computer Science, University of Colorado, Colorado Sprints",2017 IEEE Frontiers in Education Conference (FIE),,2017,,,1,5,"Program comprehension is a common task in software development. Programmers perform program comprehension at different stages of the software development life cycle. Detecting when a programmer experiences problems or confusion can be difficult. Self-reported data may be useful, but not reliable. More importantly, it is hard to use the self-reported feedback in real time. In this study, we use an inexpensive, non-invasive EEG device to record 8 subjects' brain activity in short program comprehension. Subjects were presented either confusing or non-confusing C/C++ code snippets. Paired sample t-tests are used to compare the average magnitude in alpha and theta frequency bands. The results show that the differences in the average magnitude in both bands are significant comparing confusing and non-confusing questions. We then use ANOVA to detect whether such difference also presented in the same type of questions. We found that there is no significant difference across questions of the same difficulty level. Our outcome, however, shows alpha and theta band powers both increased when subjects are under the heavy cognitive workload. Other research studies reported a negative correlation between (upper) alpha and theta band powers.",,978-1-5090-5920-1978-1-5090-5919-5978-1-5090-4920,10.1109/FIE.2017.8190486,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190486,computer programming;electroencephalograph;EEG,Electroencephalography;Brain;Software;Electrodes;Real-time systems;Performance evaluation,electroencephalography;medical signal processing,EEG device;program comprehension;C/C++ code snippets;ANOVA;brain activity;software development life cycle,,,20,,,,,IEEE,IEEE Conferences
Building Usage Contexts During Program Comprehension,C. Parnin; C. Gorg,Georgia Institute of Technology; NA,14th IEEE International Conference on Program Comprehension (ICPC'06),,2006,,,13,22,"Software developers often work on multiple simultaneous projects. Even when only a single project is underway, everyday distractions interrupt the development effort. Consequently, developers spend significant effort pursuing recovery of their context. By context, we focus on the classes and methods within the code that are relevant to a specific bug being fixed or enhancement made. Context is reified by a program in terms of a set of presentations (windows a containing source code, command executions, and data files); however, it is not enough to save the latest context. Even when working on a single task, programmers flip between contexts as they extend their understanding, and when they decide on a change, they may have to visit several contexts in order to address all possible ripple effects. Consequently, we would like to record a history of contexts and be able to retrieve them as demanded by the current task. We introduce a novel technique to obtain a context, consisting of a set of methods relevant for the current task, from a programmer's interactions with an IDE. Using this context, we demonstrate how to improve the ability of a programmer to recover the mental state associated with tasks and to facilitate the exploration of software through recommendation systems",1092-8138,0-7695-2601,10.1109/ICPC.2006.14,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1631101,,Programming profession;Educational institutions;History;Software systems;Energy resolution;Organizing;Context modeling,human factors;project management;reverse engineering;software engineering,program usage context;program comprehension;software project development;program bug;programmer interaction;IDE;recommendation system,,31,18,,,,,IEEE,IEEE Conferences
Automated chunking to support program comprehension,I. Burnstein; K. Roberson,"Dept. of Comput. Sci., Illinois Inst. of Technol., Chicago, IL, USA; NA",Proceedings Fifth International Workshop on Program Comprehension. IWPC'97,,1997,,,40,49,"We report on a program comprehension support tool called the Chunker. It partitions code into abstractions called candidate chunks using data dependency analysis and a set of heuristics. The candidate chunks can be mapped to programming and problem domain concepts by a software engineer and are useful for building mental models during comprehension. We describe the implementation of the Chunker, performance issues, and plans for tool enhancement.",1092-8138,0-8186-7993,10.1109/WPC.1997.601262,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=601262,,Cognitive science;Data analysis;Software tools;Data visualization;Displays;Computer science;Software performance;Buildings;Computer languages;Assembly,reverse engineering;software tools;user modelling;software performance evaluation,automated chunking;program comprehension support tool;Chunker;code partitioning;abstractions;candidate chunks;data dependency analysis;heuristics;programming;mental models;software performance,,7,12,,,,,IEEE,IEEE Conferences
Scalable interfaces to support program comprehension,W. Citrin; C. Santiago; B. Zorn,"Dept. of Electr. & Comput. Eng., Colorado Univ., Boulder, CO, USA; NA; NA",WPC '96. 4th Workshop on Program Comprehension,,1996,,,123,132,"Studies of how programmers understand code suggest that programmers approach the understanding task in both bottom-up and top-town ways, depending on the context. We present a tool, VIPR, that provides a unified visual representation of both high-level and low-level constructs and a smooth transition between the two levels through smoothly animated zooming and focus and context ('fisheyeing') techniques. VlPR is currently being used to visualize Tcl programs, but the technique is generally applicable to programs written in any imperative programming language.",1092-8138,0-8186-7283,10.1109/WPC.1996.501127,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=501127,,Programming profession;Visualization;Animation;Microstructure;Computer languages;Programming environments;User interfaces;Computer science,reverse engineering;program diagnostics;software tools;visual programming;data visualisation;graphical user interfaces,scalable interfaces;program comprehension;programmers;program understanding;bottom-up;top-town;VIPR;software tool;visual representation;zooming;animation;fisheye;program visualization;Tcl programs;imperative programming language;programming environment;graphical user interface,,5,17,,,,,IEEE,IEEE Conferences
Program comprehension experiences with GXL; comprehension for comprehension,C. Knight; M. Munro,"Dept. of Comput. Sci., Durham Univ., UK; Dept. of Comput. Sci., Durham Univ., UK",Proceedings 10th International Workshop on Program Comprehension,,2002,,,147,156,"Tools are vital to support the various activities that form the many tasks that are part of the program comprehension process. In order for these tools to be used and useful, it is necessary that they support the activities of the user. This support must complement the work methods and activities of the user and not hinder them. Whilst features of good tools have been identified, tool builders do not always adhere to them. It is important to consider whether needs have changed, and if those desirable properties need augmenting or revising. From experience of maintaining and enhancing an existing program comprehension tool for the purposes of participating in a re-engineering activity, many lessons on tool support have been learned. Various program comprehension strategies are introduced in this paper. The use of GXL (Graph eXchange Language) and involvement in the SORTIE project are presented with reference to the tool being adapted and used. Details of the changes made are given to illustrate the support desired. These all feed into the final section of the paper that discusses the sort of support that tools should provide, current tool deficiencies and some of the ways in which these could be addressed.",1092-8138,0-7695-1495,10.1109/WPC.2002.1021336,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1021336,,Software tools;Software maintenance;Visualization;Computer science;Programming profession;Feeds;Conferences,reverse engineering;software tools;visual languages;electronic data interchange;program visualisation,program comprehension;GXL;Graph Exchange Language;user work methods;user activities;reengineering activity;SORTIE project;tool deficiencies,,2,22,,,,,IEEE,IEEE Conferences
Reading the documentation of invoked API functions in program comprehension,U. Dekel; J. D. Herbsleb,"Institute for Software Research, School of Computer Science, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15213 USA; Institute for Software Research, School of Computer Science, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15213 USA",2009 IEEE 17th International Conference on Program Comprehension,,2009,,,168,177,"Comprehending an unfamiliar code fragment requires an awareness of explicit usage directives that may be present in the documentation of some invoked functions. Since it is not practical for developers to thoroughly investigate every call, directives may be missed and errors may occur. We previously reported on a tool called eMoose, which highlights calls to methods with associated directives, and on a controlled comparative lab study in which eMoose users were more successful at fixing bugs in given code fragments. In this paper we attempt to shed light on the factors behind these differences with a detailed analysis of videos from the study. We argue that information foraging theory may explain the subjects' reading choices and the impact of our tool. We also suggest ways to structure documentation to increase the prospects of knowledge acquisition.",1092-8138,978-1-4244-3998-0978-1-4244-3997,10.1109/ICPC.2009.5090040,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5090040,,Documentation;Java;Functional programming;Computer science;Computer bugs;Videos;Knowledge acquisition;Software maintenance;Collaborative software;Application software,application program interfaces;knowledge acquisition;program debugging;software maintenance,application programming interfaces;software maintenance;program comprehension;information foraging theory;knowledge acquisition,,7,13,,,,,IEEE,IEEE Conferences
MOOSE - a task-driven program comprehension environment,J. Rilling; A. Seffah,"Dept. of Comput. Sci., Concordia Univ., Montreal, Que., Canada; NA",25th Annual International Computer Software and Applications Conference. COMPSAC 2001,,2001,,,77,84,"Many tools have been developed to derive abstract representations from existing source code. Yet, most of these tools provide only little help in providing an encompassing picture of the system under examination. Graphical visualization techniques derived from reverse engineered source code have long been recognized for their impact on improving the comprehensibility of software systems and their source code. In this paper, we present a task-oriented approach to software comprehension by introducing our MOOSE (Montreal Object-Oriented Slicing Environment) environment that provides a task-driven wizard approach that supports a cognitive comprehension model combined with reverse engineering techniques, algorithmic and visualization support. We close our discussion with a brief overview of typical software comprehension tasks and how the MOOSE environment will benefit users during these comprehension tasks.",0730-3157,0-7695-1372,10.1109/CMPSAC.2001.960601,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=960601,,Reverse engineering;Object oriented modeling;Software maintenance;Software systems;Computer science;Design methodology;Data visualization;Pattern matching;Pattern recognition;Software quality,reverse engineering;program slicing;program visualisation;programming environments;object-oriented methods,MOOSE;task-driven program comprehension environment;abstract representations;source code;graphical visualization;reverse engineered source code;task-oriented approach;Montreal Object-Oriented Slicing Environment;task-driven wizard;cognitive comprehension model;reverse engineering techniques,,2,31,,,,,IEEE,IEEE Conferences
Using conceptual roles of data for enhanced program comprehension,Yunbo Deng; S. Kothari,"Dept. of Electr. & Comput. Eng., Iowa State Univ., Ames, IA, USA; Dept. of Electr. & Comput. Eng., Iowa State Univ., Ames, IA, USA","Ninth Working Conference on Reverse Engineering, 2002. Proceedings.",,2002,,,119,127,"Without proper background, it is often very difficult for human beings to understand a legacy code. Domain knowledge is valuable to guide domain experts to efficiently comprehend and reengineer domain applications. In the comprehension process, what domain experts normally do is associate domain concepts in the human mind with their representations in the actual code. This paper is addressed as an effort to recover the representations of domain-specific concepts in an application and show the usefulness of such recovery in program comprehension. We describe two important aspects of this research: data-centered program analysis to recover the conceptual roles of data in a program; deriving a ""program skeleton"" aided by the conceptual roles to present an abstraction to capture the program behavior and the relationship between kernel variables in a program. We are developing a software engineering environment, named ""SeeCORE"", which incorporates these two approaches. SeeCORE can be customized for different domains by appropriately user-defined domain-specific rules. We have used a class of scientific applications as a domain to demonstrate our approach.",1095-1350,0-7695-1799,10.1109/WCRE.2002.1173070,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1173070,,Reverse engineering,reverse engineering;program diagnostics;programming environments,legacy code;domain knowledge;program comprehension;data-centered program analysis;program skeleton;program behavior;software engineering environment;SeeCORE;user-defined domain-specific rules,,,16,,,,,IEEE,IEEE Conferences
A structured demonstration of program comprehension tools,S. E. Sim; M. A. D. Storey,"Dept. of Comput. Sci., Toronto Univ., Ont., Canada; NA",Proceedings Seventh Working Conference on Reverse Engineering,,2000,,,184,193,"This paper describes a structured tool demonstration, a hybrid evaluation technique that combines elements from experiments, case studies and technology demonstrations. Developers of program understanding tools were invited to bring their tools to a common location to participate in a scenario with a common subject system. Working simultaneously the tool teams were given reverse engineering tasks and maintenance tasks to complete on an unfamiliar subject system. Observers were assigned to each team to find out how useful the observed program comprehension tool would be in an industrial setting. The demonstration was followed by a workshop panel where the development teams and the observers presented their results and findings from this experience.",1095-1350,0-7695-0881,10.1109/WCRE.2000.891465,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=891465,,Reverse engineering;Software systems;Software tools;Computer science;Educational institutions;Technology transfer;Scalability;Nominations and elections;Visualization;Operating systems,reverse engineering;software maintenance;software tools,program comprehension tools;structured tool demonstration;hybrid evaluation technique;experiments;case studies;technology demonstrations;program understanding;reverse engineering;software maintenance,,12,24,,,,,IEEE,IEEE Conferences
Maintenance of embedded systems: Supporting program comprehension using dynamic analysis,J. Trümper; S. Voigt; J. Döllner,"Hasso-Plattner-Institute - University of Potsdam, Germany; Hasso-Plattner-Institute - University of Potsdam, Germany; Hasso-Plattner-Institute - University of Potsdam, Germany",2012 Second International Workshop on Software Engineering for Embedded Systems (SEES),,2012,,,58,64,"Maintenance of embedded software systems is faced with multiple challenges, including the exploration and analysis of the actual system's runtime behavior. As a fundamental technique, tracing can be used to capture data about runtime behavior as a whole, and represents one of the few methods to observe and record data about embedded systems within their production environments. In this paper we present a software-based, function-boundary tracing approach for embedded software systems. It uses static binary instrumentation, which implies only lightweight memory and performance overheads. To further reduce these overheads, instrumentation can be configured per trace, i.e., activated only for a specified group of functions without having to recompile the system. The technique can be characterized by its robust implementation and its versatile usage. It is complemented by a visualization framework that allows for analysis and exploration of a system's runtime behavior, e.g., to examine thread interaction. To show the technique's applicability, we conclude with a case study that has been applied to an industrial embedded software system.",,978-1-4673-1853-2978-1-4673-1852,10.1109/SEES.2012.6225492,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6225492,,Instruments;Runtime;Embedded systems;Libraries;Hardware,embedded systems;software maintenance,embedded system maintenance;program comprehension support;dynamic analysis;embedded software systems;fundamental technique;production environments;static binary instrumentation;lightweight memory,,4,36,,,,,IEEE,IEEE Conferences
Assessing the contribution of the individual alpha frequency (IAF) in an EEG-based study of program comprehension,I. Crk; T. Kluthe,"Department of Computer Science, Southern Illinois University Edwardsville, Edwardsville, IL 62026, USA; Department of Computer Science, Southern Illinois University Edwardsville, Edwardsville, IL 62026, USA",2016 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),,2016,,,4601,4604,"Empirical studies of programming language learnability and usability have thus far depended on indirect measures of human cognitive performance, attempting to capture what is at its essence a purely cognitive exercise through various indicators of comprehension, such as the time spent working out the meaning of code and producing acceptable solutions. We present evidence of the relative contribution of experience and the individual alpha frequency (IAF) to achieving correct performance during program comprehension tasks, specifically that more experience and higher IAF are both associated with an increased likelihood of correct task performance, with experience playing the greater part.",1558-4615;1557-170X,978-1-4577-0220-4978-1-4577-0219,10.1109/EMBC.2016.7591752,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7591752,,Electroencephalography;Atmospheric measurements;Particle measurements;Timing;Programming;Frequency conversion,cognition;electroencephalography;human computer interaction,individual alpha frequency;EEG-based study;program comprehension tasks;programming language learnability;programming language usability;human cognitive performance;empirical study;human-computer interaction,Alpha Rhythm;Comprehension;Electroencephalography;Humans;Logistic Models;Reproducibility of Results;Task Performance and Analysis;Time Factors,1,22,,,,,IEEE,IEEE Conferences
How Webmining and Coupling Metrics Improve Early Program Comprehension,A. Zaidman; Bart Du Bois; S. Demeyer,"University of Antwerp, Belgium; NA; NA",14th IEEE International Conference on Program Comprehension (ICPC'06),,2006,,,74,78,"During initial program comprehension, software engineers could benefit from knowing the most need-to-be-understood classes in the system under study in order to kick-start their software reconnaissance. Previously we have used Webmining techniques on runtime trace data to identify these important classes. Here, we reprise this Webmining technique and make a thorough comparison of its effectiveness when collecting static information of the software system under study. Apache Ant and Jakarta JMeter, two medium-scale open source Java software systems, serve as case studies. From publicly available developers notes we conclude that the Webmining technique in combination with dynamic analysis provides the best results with a level of recall of 90% when comparing with the developers' opinion",1092-8138,0-7695-2601,10.1109/ICPC.2006.26,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1631107,,Software systems;Runtime;Open source software;Information analysis;Reconnaissance;Java;Large-scale systems;Leg;Availability;Scalability,data mining;Internet;Java;public domain software;reverse engineering;software maintenance;software metrics;system monitoring,Webmining;coupling metrics;program comprehension;software engineering;software reconnaissance;runtime trace data;Apache Ant;Jakarta JMeter;open source Java software system;dynamic analysis,,9,7,,,,,IEEE,IEEE Conferences
