Document Title	Document Title - ajusted	DOI	PDF Link	Authors	Author Affiliations	Publication Title	Date Added To Xplore	Publication Year	Volume	Issue	Start Page	End Page	Abstract	ISSN	ISBNs	Funding Information	Author Keywords	IEEE Terms	INSPEC Controlled Terms	INSPEC Non-Controlled Terms	Mesh_Terms	Article Citation Count	Patent Citation Count	Reference Count	License	Online Date	Issue Date	Meeting Date	Publisher	Document Identifier
Student Program Classification Using Gated Graph Attention Neural Network	student program classification using gated graph attention neural network	10.1109/ACCESS.2021.3063475	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9367198	M. Lu; Y. Wang; D. Tan; L. Zhao	School of Computer Science and Engineering, Central South University, Changsha, China; School of Computer Science and Engineering, Central South University, Changsha, China; School of Computer Science and Engineering, Central South University, Changsha, China; School of Geosciences and Info-Physics, Central South University, Changsha, China	IEEE Access	22 jun. 2021	2021	9		87857	87868	Source code mining has received increasing attention, among which code classification plays a significant role in code understanding and automatic coding. Most source code mining efforts aim at the source code of projects, which are usually large and standardized, but less for student programs. There are two differences between project codes and student programs. On the one hand, some work on project codes is based on relatively single information, which is far from enough for student programs. Because student programs are relatively small, which makes them contain less information. Consequently, it is necessary to mine as much information as possible in student programs. On the other hand, the variable or function naming and the structure of the student programs are usually irregular, as compared with the source codes of projects. To learn from student programs, we proposed a Graph Neural Network (GNN) based model, which integrates data flow and function call information to the Abstract Syntax Tree (AST), and applies an improved GNN model to the integrated graph to achieve the state-of-art student program classification accuracy. The experiment results have shown that the proposed work can classify student programs with accuracy over 97%.	2169-3536		National Science Foundation of China(grant numbers:61232001,61173169,91646115,60903222); Science Foundation of Hunan(grant numbers:2016JJ2149,018JJ3012); Major Science and Technology Research Program for Strategic Emerging Industry of Hunan(grant numbers:2012GK4054); 	Abstract syntax tree;attention mechanism;code understanding;function call graph;data flow;graph neural network;student program classification	Syntactics;Logic gates;Semantics;Graph neural networks;Task analysis;Predictive models;Natural language processing	computer science education;data flow analysis;data mining;neural nets;source coding;trees (mathematics)	code classification;source code mining;project codes;student program classification accuracy;gated graph attention neural network;automatic coding;variable naming;function naming;GNN;data flow;function call information;abstract syntax tree;AST				27	CCBY	2 mar. 2021			IEEE	IEEE Journals
Adaptive Code Learning for Spark Configuration Tuning	adaptive code learning for spark configuration tuning	10.1109/ICDE53745.2022.00195	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9835695	C. Lin; J. Zhuang; J. Feng; H. Li; X. Zhou; G. Li	School of Informatics, Xiamen University, China; School of Informatics, Xiamen University, China; School of Informatics, Xiamen University, China; School of Informatics, Xiamen University, China; Department of Computer Science, Tsinghua University, China; Department of Computer Science, Tsinghua University, China	2022 IEEE 38th International Conference on Data Engineering (ICDE)	2 Aug 2022	2022			1995	2007	Configuration tuning is vital to optimize the performance of big data analysis platforms like Spark. Existing methods (e.g. auto-tuning relational databases) are not effective for tuning Spark, because the unique characteristics of Spark pose new challenges to configuration tuning. (C1) The Spark applications own various code structures and semantics, and the code features significantly affect Spark performance and configuration selection; (C2) Spark applications are extremely time-consuming on big data. It is infeasible for approaches such as Bayesian Optimization and Reinforcement Learning to collect sufficient training instances or repeatedly execute the applications; (C3) Spark supports various analytical applications and the tuning system needs to adapt to different applications. To address these challenges, we propose a LIghtweighT knob rEcommender system (LITE) for auto-tuning Spark configurations on various analytical applications and large-scale datasets. We first propose a code learning framework that can utilize code features to learn complex correlations between application performance and knob values (addressing C1). We then propose a lightweight auto-tuning method that migrates the knowledge learned from small-scale datasets to large-scale datasets (addressing C2). Next, to generalize to different Spark applications, we propose an adaptive model update approach to fine-tune the model via adversarial learning with newly collected feedback (addressing C3). Extensive experiments showed that LITE achieves much better performance compared with state-of-the-art auto-tuning methods.	2375-026X	978-1-6654-0883-7	Natural Science Foundation of China(grant numbers:61972328); NSF of China(grant numbers:61925205,62072261); Natural Science Foundation of China(grant numbers:62002303); Natural Science Foundation of Fujian Province China(grant numbers:2020J05001); 	spark;automatic configuration tuning;code understanding	Training;Adaptation models;Codes;Correlation;Semantics;Relational databases;Big Data	Bayes methods;Big Data;data analysis;learning (artificial intelligence);recommender systems;relational databases	adaptive code Learning;Spark configuration;configuration tuning;big data analysis;auto-tuning relational databases;code structures;semantics;code features;Spark performance;configuration selection;Bayesian Optimization;Reinforcement Learning;analytical applications;tuning system;LIghtweighT knob rEcommender system;auto-tuning Spark configurations;large-scale datasets;code learning framework;application performance;lightweight auto-tuning method;different Spark applications;adaptive model update approach;adversarial learning;state-of-the-art auto-tuning methods				43	IEEE	2 Aug 2022			IEEE	IEEE Conferences
Inspect4py: A Knowledge Extraction Framework for Python Code Repositories	inspect4py a knowledge extraction framework for python code repositories	10.1145/3524842.3528497	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796219	R. Filgueira; D. Garijo	University of St Andrews, St Andrews, UK; Universidad Politécnica de Madrid, Madrid, Spain	2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR)	21 jun. 2022	2022			232	236	This work presents inspect4py, a static code analysis framework designed to automatically extract the main features, metadata and documentation of Python code repositories. Given an input folder with code, inspect4py uses abstract syntax trees and state of the art tools to find all functions, classes, tests, documentation, call graphs, module dependencies and control flows within all code files in that repository. Using these findings, inspect4py infers different ways of invoking a software component. We have evaluated our framework on 95 annotated repositories, obtaining promising results for software type classification (over 95% F1-score). With inspect4py, we aim to ease the understandability and adoption of software repositories by other researchers and developers. Code: https://github.com/SoftwareUnderstanding/inspect4py DOI:https://doi.org/10.5281/zenodo.5907936 License: Open (BSD3-Clause)	2574-3864	978-1-4503-9303-4		Code mining;software code;software classification;software documentation;code understanding	Codes;Documentation;Syntactics;Metadata;Feature extraction;Software documentation	feature extraction;knowledge acquisition;meta data;object-oriented programming;pattern classification;program diagnostics;Python	call graphs;code files;software repositories;knowledge extraction;Python code repositories;static code analysis;metadata;documentation;inspect4py;abstract syntax trees;feature extraction;module dependencies;control flows;software component;software type classification				17		21 jun. 2022			IEEE	IEEE Conferences
An Introduction to QR Code Technology	an introduction to qr code technology	10.1109/ICIT.2016.021	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7966807	S. Tiwari	Dept. of Technical Education, SITS Educators Society, Jabalpur, Madhya Pradesh, India	2016 International Conference on Information Technology (ICIT)	3 jul. 2017	2016			39	44	QR i.e. "Quick Response" code is a 2D matrix code that is designed by keeping two points under consideration, i.e. it must store large amount of data as compared to 1D barcodes and it must be decoded at high speed using any handheld device like phones. QR code provides high data storage capacity, fast scanning, omnidirectional readability, and many other advantages including, error-correction (so that damaged code can also be read successfully) and different type of versions. Different varieties of QR code symbols like logo QR code, encrypted QR code, iQR Code are also available so that user can choose among them according to their need. Now these days, a QR code is applied in different application streams related to marketing, security, academics etc. and gain popularity at a really high pace. Day by day more people are getting aware of this technology and use it accordingly. The popularity of QR code grows rapidly with the growth of smartphone users and thus the QR code is rapidly arriving at high levels of acceptance worldwide.		978-1-5090-3584-7		QR code;Quick Response code;QR code structure;QR Code Encoding;QR Code Decoding	Error correction codes;Encoding;Decoding;Timing;Particle separators;Uniform resource locators;Arrays	bar codes;decoding;error correction codes;QR codes	quick response code;2D matrix code;1D barcode;decoding;data storage capacity;omnidirectional readability;error-correction;logo QR code technology;iQR Code;security		43		10		3 jul. 2017			IEEE	IEEE Conferences
Source-Level Energy Consumption Estimation for Cloud Computing Tasks	sourcelevel energy consumption estimation for cloud computing tasks	10.1109/ACCESS.2017.2778309	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8123619	H. Liu; F. Yan; S. Zhang; T. Xiao; J. Song	School of Metallurgy, Northeastern University, Shenyang, China; School of Metallurgy, Northeastern University, Shenyang, China; Software College, Northeastern University, Shenyang, China; School of Computer Science and Engineering, Northeastern University, Shenyang, China; Software College, Northeastern University, Shenyang, China	IEEE Access	14 Feb 2018	2018	6		1321	1330	In the cloud computing environment, the source-level energy consumption (EC) estimation is employed to approximately measure the EC of a cloud computing task before it is executed. The EC estimation on tasks is critical to task scheduling and source-code improvement in the aspect of EC optimization. The existing studies treat a task as a program, and EC of the task as the simple summation of each statement's EC. However, EC of two tasks consisting of the same statements with different structures is unequal; therefore, the code structure should be highlighted in source-level EC estimation. In this paper, an abstract energy consumption (AEC) model, which is static and runtime-independent, is proposed. For the model, the two quantitative measurements, “cross-degree”and “reuse-degree,”are proposed as the code structure features, and the relationship between EC and the measurements is formulated. Although AEC is not a precise EC measurement, it can properly represent the EC of a task, compare with other tasks, and verify the optimization effect. Experimental results show that the ratios between the EC and AEC with 50 test cases are stable; the standard deviation is 0.0002; and the mean value is 0.005. The regularities of EC and code structures, represented as “cross-degree”and “reuse-degree,”are also validated. Though AEC, it is easier to schedule the cloud computing tasks properly and further reduce the consumed energy.	2169-3536		National Natural Science Foundation of China(grant numbers:61672143,61433008,U1435216,61662057,61502090,61402090); National Research Foundation for the Doctoral Program of Higher Education of China(grant numbers:N161602003); 	Abstract energy consumption;code structure;energy consumption estimation;cloud computing tasks;source-level	Estimation;Cloud computing;Energy consumption;Runtime;Optimization;Monitoring	cloud computing;energy consumption;optimisation;power aware computing;scheduling	code structure features;AEC;precise EC measurement;code structures;cross-degree;reuse-degree;consumed energy;source-level energy consumption estimation;cloud computing task;cloud computing environment;task scheduling;source-code improvement;source-level EC estimation;abstract energy consumption model;quantitative measurements;optimization effect		7		24	OAPA	29 nov. 2017			IEEE	IEEE Journals
A Longitudinal Study of Application Structure and Behaviors in Android	a longitudinal study of application structure and behaviors in android	10.1109/TSE.2020.2975176	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9003217	H. Cai; B. Ryder	School of Electrical Engineering and Computer Science, Washington State University, Pullman, WA, USA; Department of Computer Science, Virginia Tech, Blacksburg, VA, USA	IEEE Transactions on Software Engineering	10 Dec 2021	2021	47	12	2934	2955	With the rise of the mobile computing market, Android has received tremendous attention from both academia and industry. Application programming in Android is known to have unique characteristics, and Android apps be particularly vulnerable to various security attacks. In response, numerous solutions for particular security issues have been proposed. However, there is little broad understanding about Android app code structure and behaviors along with their implications for app analysis and security defense, especially in an evolutionary perspective. To mitigate this gap, we present a longitudinal characterization study of Android apps to systematically investigate how they are built and execute over time. Through lightweight static analysis and method-level tracing, we examined the code and execution of 17,664 apps sampled from the apps developed in each of eight past years, with respect to metrics in three complementary dimensions. Our study revealed that (1) apps functionalities heavily rely on the Android framework/SDK, and the reliance continues to grow, (2) Activity components constantly dominated over other types of components and were responsible for the invocation of most lifecycle callbacks, (3) event-handling callbacks consistently focused more on user-interface events than system events, (4) the overall use of callbacks has been slowly diminishing over time, (5) the majority of exercised inter-component communications (ICCs) did not carry any data payloads, and (6) sensitive data sources and sinks targeted only one/two dominant categories of information or operations, and the ranking of source/sink categories remained quite stable throughout the eight years. We discuss the implications of our empirical findings for cost-effective app analysis and security defense for Android, and make cost-effectiveness improvement recommendations accordingly.	1939-3520		National Science Foundation(grant numbers:#1936522); 	Android;code structure;app behavior;longitudinal study;evolution;app analysis;security;ICC	Androids;Humanoid robots;Computer security;Runtime;Measurement;Codes	Android (operating system);mobile computing;program diagnostics;security of data	mobile computing market;application programming;Android app code structure;security attacks;lightweight static analysis;lifecycle callbacks;event-handling callbacks;intercomponent communications		7		77	IEEE	19 Feb 2020			IEEE	IEEE Journals
Source Code Retrieval for Bug Localization using Bug Report	source code retrieval for bug localization using bug report	10.1109/ICCP48234.2019.8959535	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8959535	K. E. E. Swe; H. M. Oo	University of Computer Studies, Mandalay, Mandalay, Myanmar; University of Computer Studies, Mandalay, Mandalay, Myanmar	2019 IEEE 15th International Conference on Intelligent Computer Communication and Processing (ICCP)	16 jan. 2020	2019			241	247	Bug localization helps software developers to track post-released faulty source files with the help of user's reported bug files. Information retrieval (IR) based bug localization have been widely used in recent years. It recommends relevant faulty source files to fix according to their highest similarity scores. We propose a combined approach of IR-based bug localization by operating previously fixed bug reports and source code structure. From the query, bug report structure is also considered to get more accurate faulty source files. In our approach, three parts in the source code file and two parts in bug report are combined as six combinations score. In some bug localization approach, features are usually linearly combined. Our approach uses linearly combine with the weight value. We perform experiments on three projects, i.e. SWT, AspectJ, and Eclipse. The result shows that the proposed approach achieves the relevance accuracy for bug localization process. According to the evaluation result, using the structure is more localized than no structured approach.		978-1-7281-4914-1		bug localization;information retrieval;source code structure;bug report structure		information retrieval;program debugging;source code (software)	IR-based bug localization;source code structure;bug report structure;source code file;bug localization process;source code retrieval;information retrieval based bug localization		2		16		16 jan. 2020			IEEE	IEEE Conferences
Examples of Usage of Method of Data Errors Correction which are Presented by the Residual Classes	examples of usage of method of data errors correction which are presented by the residual classes	10.1109/ATIT49449.2019.9030512	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9030512	V. Krasnobaev; V. Popenko; T. Kuznetsova; K. Kuznetsova	Department of information systems and technologies security, V. N. Karazin Kharkiv National University, Kharkiv, Ukraine; Department of information systems and technologies security, V. N. Karazin Kharkiv National University, Kharkiv, Ukraine; Department of information systems and technologies security, V. N. Karazin Kharkiv National University, Kharkiv, Ukraine; Department of information systems and technologies security, V. N. Karazin Kharkiv National University, Kharkiv, Ukraine	2019 IEEE International Conference on Advanced Trends in Information Theory (ATIT)	12 mar. 2020	2019			45	50	The method of correction of single errors in the residue class (RC) is considered in this article. The results of analysis of arithmetic code correcting possibilities showed high efficiency of the use of position-independent code structures in RC. Examples of correction of the data single errors which presented by the code of RC are made in the article.		978-1-7281-6144-0		residual class system;data errors correction;non-positional code structure;computational process	Error correction;Information systems;Security;Redundancy;Error correction codes;Periodic structures	arithmetic codes;error correction codes;residue codes	data errors correction;residual classes;arithmetic code correcting possibilities;position-independent code structures;data single errors		2		25		12 mar. 2020			IEEE	IEEE Conferences
An Eye Tracking Study on camelCase and under_score Identifier Styles	an eye tracking study on camelcase and under_score identifier styles	10.1109/ICPC.2010.41	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5521745	B. Sharif; J. I. Maletic	Department of Computer Science, Kent University, Kent, OH, USA; Department of Computer Science, Kent University, Kent, OH, USA	2010 IEEE 18th International Conference on Program Comprehension	26 jul. 2010	2010			196	205	An empirical study to determine if identifier-naming conventions (i.e., camelCase and under_score) affect code comprehension is presented. An eye tracker is used to capture quantitative data from human subjects during an experiment. The intent of this study is to replicate a previous study published at ICPC 2009 (Binkley et al.) that used a timed response test method to acquire data. The use of eye-tracking equipment gives additional insight and overcomes some limitations of traditional data gathering techniques. Similarities and differences between the two studies are discussed. One main difference is that subjects were trained mainly in the underscore style and were all programmers. While results indicate no difference in accuracy between the two styles, subjects recognize identifiers in the underscore style more quickly.	1092-8138	978-1-4244-7603-9		identifier styles;eye-tracking study;code readability	Programming profession;Computer science;Humans;Testing;Cognitive science;Computer languages;Java;Keyboards;Writing;Software maintenance	programming	camelCase;under_score identifier styles;code comprehension;eye-tracking equipment		79		27		26 jul. 2010			IEEE	IEEE Conferences
The Expansion of Source Code Abbreviations Using a Language Model	the expansion of source code abbreviations using a language model	10.1109/COMPSAC.2018.10260	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8377888	A. Alatawi; W. Xu; J. Yan	Department of Computer Science, Saudi Electronic University, Riyadh, Saudi Arabia; Department of Computer Science, Bowie State University, Bowie, MD, USA; Department of Computer Science, Bowie State University, Bowie, MD, USA	2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC)	22 jun. 2018	2018	2		370	375	Programmers often abbreviate identifiers names in source code to represent single words, i.e. unigrams, or phrases, i.e. multigrams. However, the difficulty to retrieve the original word(s) of an abbreviation during the maintenance phase makes the source code more problematic to comprehend. Incorrect abbreviations expansion may lead to introducing defects in the code. There are many approaches that that automatically expand abbreviations to their original words, unfortunately, they are based on predefined patterns and single-words dictionaries which cannot address abbreviations that are expandable to phrases. In this paper, we describe a bigram-based inference model which utilizes unigrams statistical properties as evidence to retrieve the original word automatically. We evaluated our approach on a set of 100 abbreviations randomly picked from eight open source projects and found that our approach correctly expands 78% of the set.	0730-3157	978-1-5386-2667-2		Automatic Abbreviation Expansion, Software Comprehension, Code Readability, Software Maintenance	Mathematical model;Dictionaries;Software;Computer science;Bayes methods;Conferences	dictionaries;information retrieval;natural language processing;source coding;statistical analysis;text analysis;word processing	source code abbreviations;language model;maintenance phase;incorrect abbreviations expansion;single-words dictionaries;bigram-based inference model;unigrams statistical properties;open source projects		7		14		22 jun. 2018			IEEE	IEEE Conferences
iSCREAM: a suite for Smart Contract REAdability assessMent	iscream a suite for smart contract readability assessment	10.1109/ICSME52107.2021.00060	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9609171	G. Canfora; A. Di Sorbo; M. Fredella; A. Vacca; C. A. Visaggio	University of Sannio, Italy; University of Sannio, Italy; University of Sannio, Italy; University of Sannio, Italy; University of Sannio, Italy	2021 IEEE International Conference on Software Maintenance and Evolution (ICSME)	24 nov. 2021	2021			579	583	Blockchain is increasingly revolutionizing a variety of sectors, from finance to healthcare. Indeed, the availability of public blockchain platforms, such as Ethereum, has stimulated the development of hundreds of decentralized apps (dApps) that combine smart contract(s) and a front-end user interface. Smart contracts are software, as well, and, as traditional software, they require to be developed and maintained or evolved. Among all the quality properties that must be assessed and guaranteed, readability is a key aspect of source code: a highly readable code facilitates its maintainability, portability, and reusability. This is especially true when considering smart contracts, where code reuse is widely adopted. Indeed, smart contract developers often integrate code portions from other smart contracts in their artifacts. To help developers and researchers more easily estimating and monitoring the code readability of smart contracts, in this demo, we present iSCREAM. iSCREAM automatically inspects Solidity smart contracts and computes a set of metrics that previous research demonstrated being related to code readability. We evaluated iSCREAM on 90 real-world smart contract functions, showing that our tool correctly computes all the aforementioned metrics. Demo webpage: https://github.com/mfredella/iSCREAM	2576-3148	978-1-6654-2882-8		Blockchain;Smart Contracts;Code readability	Measurement;Software maintenance;Codes;Conferences;Smart contracts;Finance;Medical services	blockchains;contracts;distributed processing;software maintenance;user interfaces	code readability;iSCREAM;smart contract developers;Solidity smart contracts;smart contract readability assessment;maintainability;portability;reusability;decentralized apps;front-end user interface		1		23	IEEE	24 nov. 2021			IEEE	IEEE Conferences
What Do We Know About Readability of Test Code? - A Systematic Mapping Study	what do we know about readability of test code a systematic mapping study	10.1109/SANER53432.2022.00135	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9825897	D. Winkler; P. Urbanke; R. Ramler	CDL-SQI, TU Wien, Inst. for Inf. Syst. Eng., Vienna, Austria; CDL-SQI, TU Wien, Inst. for Inf. Syst. Eng., Vienna, Austria; Software Competence Center Hagenberg GmbH (SCCH), Hagenberg, Austria	2022 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)	21 jul. 2022	2022			1167	1174	The readability of software code is a key success criterion for understanding and maintaining software systems and tests. In industry practice, a limited number of guidelines aim for improving and assessing the readability of software (test) code. Although several studies focus on investigating the readability of software code, we observed limited research work that focuses on the readability of software test code. In this paper we focus on systematically investigating the characteristics, factors, and assessment criteria that have an impact on the readability of test code. We build on a Systematic Mapping Study (SMS) to identify key characteristics, factors, and assessment criteria that have an impact on test code readability, legibility, and understandability to support and improve maintenance tasks. The result set includes 16 studies for further analysis. The majority of publications focuses on readability investigations of automatically generated test code (88%), often evaluated with surveys to access the readability of test code (44 %). Although several approaches aim at assessing the readability with focus on isolated factors, a combination of different readability aspects within an assessment framework can help to better assess and justify the readability of test code with focus on improving software and system test maintenance.	1534-5351	978-1-6654-3786-8		Software Testing;Test Code;Readability;Un-derstandability;Maintainability;Systematic Mapping Study	Industries;Codes;Systematics;Conferences;Maintenance engineering;Software systems;Software	program testing;software maintenance	maintaining software systems;software test code;test code readability;readability investigations;automatically generated test code;different readability aspects;system test maintenance;systematic mapping study;SMS;identify key characteristics				38	IEEE	21 jul. 2022			IEEE	IEEE Conferences
Evaluating Essential and Accidental Code Complexity Triggers by Practitioners’ Perception	evaluating essential and accidental code complexity triggers by practitioners’ perception	10.1109/MS.2020.2976072	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9007382	V. Antinyan	Volvo Car Group	IEEE Software	23 Oct 2020	2020	37	6	86	93	Code complexity determines the difficulty of understanding code. Survey results show that many elements influence complexity, most of which are accidental and can be removed. Meanwhile, several elements captured by the traditional complexity metrics have a small influence on complexity.	1937-4194			Code complexity;software metrics;code quality;maintainability;code readability	Complexity theory;Bars;Software;Task analysis;Software measurement;Software engineering	software maintenance;software metrics	code complexity;complexity metrics;software engineering				17	IEEE	24 Feb 2020			IEEE	IEEE Magazines
Generation and consistency checking of design and program structures	generation and consistency checking of design and program structures	10.1109/TSE.1986.6312930	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6312930	Z. L. Lichtman	Department of Computer Science, Brandeis University, Waltham, MA, USA	IEEE Transactions on Software Engineering	26 Sep 2012	1986	SE-12	1	172	181	The author describes a mini methodology for generation and representation of design and program structures and for structural consistency checking between two successive designs or between a design and a program. This methodology comprises a tool (Program Design Language), a representation, and consistency criteria. The Program Design Language (PDL) extracts structure information, in a controlled way, from the top level program design, through layers of detailed designs, down to the source code itself. It generates an actual, complete, concise, and easily comparable structure representation. Structural consistency between levels can be checked, both at the development phase and at the operation and maintenance phase, ensuring continued structural consistency between the design(s) and the program.	1939-3520			Consistency checking;Program Design Language (PDL);program structure;software development;software quality assurance;software tools	Customer relationship management;Computer languages;Aerospace electronics;Nickel;Data mining;Program processors	software reliability;specification languages	software reliability;consistency checking;program structures;structural consistency checking;Program Design Language;structure information;program design;source code;development phase;maintenance phase		6				26 Sep 2012			IEEE	IEEE Journals
Analysis Method of Energy for C Source Program and Its Application	analysis method of energy for c source program and its application	10.1109/GreenCom-iThings-CPSCom.2013.244	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6682256	Y. Yuechuan; Z. Guosun; D. Chunling; W. Wei	Department of Computer Science and Technology, Tongji University, Shanghai, China; Department of Computer Science and Technology, Tongji University, Shanghai, China; Department of Computer Science and Technology, Tongji University, Shanghai, China; Department of Computer Science and Technology, Tongji University, Shanghai, China	2013 IEEE International Conference on Green Computing and Communications and IEEE Internet of Things and IEEE Cyber, Physical and Social Computing	12 Dec 2013	2013			1397	1402	Effective management of energy is the urgent task for high performance computing, but the analysis methods for energy of computer are very lack. This paper presents an analysis method of energy for C source program. Based on the basic operations and structure of C program, we present a classification of atomic operation, and establish an energy database of these atomic operations by means of experiment. Then we propose three kinds of energy calculation method for the sequential statement block, if statement block, for statement block, respectively. After changing the whole C program into a flow analysis tree, we put forward energy prediction algorithm for such a C source program. Finally, some classic algorithms are chosen to test and verify our prediction. The results show that our method has good feasibility and rationality.		978-0-7695-5046-6		Green computing;Analysis of energy consumption;C source program;Atomic operation;C program structure	Atomic measurements;Algorithm design and analysis;Energy measurement;Computers;Databases;Energy consumption;Arrays	C language;green computing;power aware computing	C source program;effective energy management;high performance computing;atomic operation classification;energy database;energy calculation method;sequential statement block;flow analysis tree;energy prediction algorithm		3		12		12 Dec 2013			IEEE	IEEE Conferences
File Structures, Program Structures, and Attributed Grammars	file structures, program structures, and attributed grammars	10.1109/TSE.1983.236735	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1703053	L. Logrippo; D. R. Skuce	Software Reliability Research Group, Department of Computer Science, University of Ottawa, Ottawa, ONT, Canada; Software Reliability Research Group, Department of Computer Science, University of Ottawa, Ottawa, ONT, Canada	IEEE Transactions on Software Engineering	18 Sep 2006	1983	SE-9	3	260	266	A language for defining sequential file structures, characterized as nested sequences of records having in common certain keys and types, is presented. "Input schemata" are defined as program skeletons that contain all the necessary control structure to process a specified file. A method for obtaining an input schema from the corresponding file structure definition is given. The method is based on attributed grammars, and has been implemented in the programming language PROLOG. This constitutes a formalization of some aspects of the data-directed program design method of Jackson and Warnier. Examples of applications of this method to business data processing problems such as file updating and report generation are given.	1939-3520			Attributed grammars;data-directed program design;data processing;logical construction of programs;logic programming;program generation;program structure;PROLOG;sequential file structures;software engineering	Data processing;Business;Computer languages;Application software;Logic programming;Computer science;Skeleton;Process control;Design methodology;Process design		Attributed grammars;data-directed program design;data processing;logical construction of programs;logic programming;program generation;program structure;PROLOG;sequential file structures;software engineering		3		18	IEEE	18 Sep 2006			IEEE	IEEE Journals
A Novel Memory Leak Classification for Evaluating the Applicability of Static Analysis Tools	a novel memory leak classification for evaluating the applicability of static analysis tools	10.1109/PIC.2018.8706142	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8706142	S. Zhang; J. Zhu; A. Liu; W. Wang; C. Guo; J. Xu	College of Computer Science, Nankai University, Tianjin, China; College of Software, Nankai University, Tianjin, China; College of Computer Science, Nankai University, Tianjin, China; College of Computer Science, Nankai University, Tianjin, China; College of Computer Science, Nankai University, Tianjin, China; College of Artificial Intelligence, Nankai University, Tianjin, China	2018 IEEE International Conference on Progress in Informatics and Computing (PIC)	6 May 2019	2018			351	356	Memory leaks in software have proved to be widespread in C programs. Much research has been done to analyze and detect memory leaks statically. However, due to the complexity and variety of memory leak vulnerabilities, it is difficult to propose a static method that can detect all kinds of memory leaks. In this paper, we propose a method to investigate the applicability of static analysis tools to detect various kinds of memory leaks. We first divide memory leak vulnerabilities into 11 categories, from the perspectives of heap memory behaviors and program structures. According to this classification, we design and implement a pattern-based system to generate a program dataset named HPMD (Heap Program Memory Dataset) that contains a variety of memory leaks. Experiments on open source repositories show that compared with existing datasets, HPMD can evaluate current tools in terms of their ability to detect various kinds of memory leaks, and can recommend reasonable tools given a specific program.		978-1-5386-7672-1		memory leak classification;heap memory behavior;program structure;static analysis tool;HPMD	Tools;Periodic structures;Static analysis;Software;Measurement;Resource management;Complexity theory	C language;pattern classification;program control structures;program diagnostics;reachability analysis;storage management	static analysis tools;divide memory leak vulnerabilities;heap memory behaviors;HPMD;program dataset;pattern-based system;program structures;static method;C programs;heap program memory dataset;memory leak classification		2		18		6 May 2019			IEEE	IEEE Conferences
An Argument in Favor of Mechanized Software Production	an argument in favor of mechanized software production	10.1109/TSE.1977.231173	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1702472	G. . -C. Roman	Department of Computer Science, Washington University, Saint Louis, MO, USA	IEEE Transactions on Software Engineering	18 Sep 2006	1977	SE-3	6	406	415	A new software engineering methodology called program control structuring is proposed. Its development is justified by the need to offer the designer the capability to improve the productivity and quality of software development in the conditions of a "highly imperfect" environment. Such an environment is shown to involve the use of transient and inexperienced programmers, frequent alterations to the design specifications, and continuous development. The philosophy behind program control structuring is that of minimizing the probability of error in the design and implementation of large programs by means of language-and problem-dependent standardization. The particular standardization approach used by program control structuring is shown to provide 1) a program structure that is simple and flexible, readily understood, easily developed, and inexpensively maintained, and 2) a high-quality and partially mechanizable structure-oriented documentation scheme. Subsequently, it is suggested that many of the standards are mechanizable in the immediate future as a necessary condition for achieving higher productivity and improved program quality. Finally, the mechanization of software production is proposed as a step needed to precede the development of automatic program generation systems.	1939-3520			Control structure;mechanization;methodology;productivity;programming environment;program structure;transformational components;standardization	Production;Productivity;Standardization;Programming environments;Documentation;Computer science;Humans;Control systems;Software engineering;Programming profession		Control structure;mechanization;methodology;productivity;programming environment;program structure;transformational components;standardization		2		10		18 Sep 2006			IEEE	IEEE Journals
