Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Hu, X., Li, G., Xia, X., Lo, D., Jin, Z.",57191413796;55901136600;54586248800;35269388000;8961795500;,Deep code comment generation with hybrid lexical and syntactical information,2019,Empirical Software Engineering,,,,,,,,10.1007/s10664-019-09730-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067895545&doi=10.1007%2fs10664-019-09730-9&partnerID=40&md5=851e522380d83cb39c593c35e7e4b3f8,Article,Article in Press,,Scopus,2-s2.0-85067895545
"Hammad, M., Alsofriya, S.",25927066300;57209175503;,Visualizing code bad smells,2019,International Journal of Advanced Computer Science and Applications,10,5,,281,286,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066732993&partnerID=40&md5=c9a7c91ea74bfa753f711d5e3af2d2ae,Article,Final,,Scopus,2-s2.0-85066732993
"Said, W., Quante, J., Koschke, R.",57202893881;18435418600;6602106142;,Interactive measures for mining understandable state machines from embedded software: Experiments and case studies,2019,Communications in Computer and Information Science,991,,,211,235,,,10.1007/978-3-030-11030-7_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061502200&doi=10.1007%2f978-3-030-11030-7_10&partnerID=40&md5=6c853855a8e66d1099de6e65f10c3d92,Conference Paper,Final,,Scopus,2-s2.0-85061502200
"Tempero, E., Ralph, P.",6602143229;12239104000;,Towards understanding programs by counting objects,2018,"Proceedings - 25th Australasian Software Engineering Conference, ASWEC 2018",,,8587280,1,10,,,10.1109/ASWEC.2018.00009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061039851&doi=10.1109%2fASWEC.2018.00009&partnerID=40&md5=3420b04ad7e68818d69f89867fc70de9,Conference Paper,Final,,Scopus,2-s2.0-85061039851
"Yildiz, E., Ekin, E.",57195218614;35931983600;,Creating Important Statement Type Comments in Autocomment: Automatic Comment Generation Framework,2018,UBMK 2018 - 3rd International Conference on Computer Science and Engineering,,,8566660,642,647,,,10.1109/UBMK.2018.8566660,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060653210&doi=10.1109%2fUBMK.2018.8566660&partnerID=40&md5=9a277447b19a6e9d609106972865e7a5,Conference Paper,Final,,Scopus,2-s2.0-85060653210
"Alshanqiti, A., Heckel, R., Kehrer, T.",57188849216;7005799677;25960845900;,Inferring visual contracts from Java programs,2018,Automated Software Engineering,25,4,,745,784,,1,10.1007/s10515-018-0242-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049597943&doi=10.1007%2fs10515-018-0242-9&partnerID=40&md5=1e61afad71bc863fd604dce5ea6bd045,Article,Final,,Scopus,2-s2.0-85049597943
"Mi, Q., Keung, J., Xiao, Y., Mensah, S., Gao, Y.",57190229579;6603066702;56532854900;57191254462;7404706509;,Improving code readability classification using convolutional neural networks,2018,Information and Software Technology,104,,,60,71,,,10.1016/j.infsof.2018.07.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049901654&doi=10.1016%2fj.infsof.2018.07.006&partnerID=40&md5=811dbbea981ad8c97d5aee7d18f73d98,Article,Final,,Scopus,2-s2.0-85049901654
"Kakarontzas, G., Pardalidou, C.",14045362800;57205627798;,Improving component coupling information with dynamic profiling,2018,ACM International Conference Proceeding Series,,,,156,161,,,10.1145/3291533.3291576,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060851544&doi=10.1145%2f3291533.3291576&partnerID=40&md5=980dd483242cde9039df15c1bcd98b7c,Conference Paper,Final,,Scopus,2-s2.0-85060851544
"Bednarik, R., Schulte, C., Budde, L., Heinemann, B., Vrzakova, H.",6701314967;16239813600;57194850985;57204048897;55258690400;,Eye-movement modeling examples in source code comprehension: A classroom study,2018,ACM International Conference Proceeding Series,,,a2,,,,,10.1145/3279720.3279722,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061330490&doi=10.1145%2f3279720.3279722&partnerID=40&md5=9a75567cb4c4fdef572b3d047c69f755,Conference Paper,Final,,Scopus,2-s2.0-85061330490
"Sulir, M.",56891618600;,Integrating runtime values with source code to facilitate program comprehension,2018,"Proceedings - 2018 IEEE International Conference on Software Maintenance and Evolution, ICSME 2018",,,8530096,743,748,,,10.1109/ICSME.2018.00093,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058305372&doi=10.1109%2fICSME.2018.00093&partnerID=40&md5=3010b85543bb0d5feb7860a8e6a4a034,Conference Paper,Final,,Scopus,2-s2.0-85058305372
"Aghajani, E.",57195062308;,Context-Aware software documentation,2018,"Proceedings - 2018 IEEE International Conference on Software Maintenance and Evolution, ICSME 2018",,,8530093,727,731,,,10.1109/ICSME.2018.00090,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058316344&doi=10.1109%2fICSME.2018.00090&partnerID=40&md5=c5a829d9175ff741493366ec4d8ee71d,Conference Paper,Final,,Scopus,2-s2.0-85058316344
"Armaly, A., Rodeghero, P., McMillan, C.",56241753200;57188553085;35094348900;,Audiohighlight: Code skimming for blind programmers,2018,"Proceedings - 2018 IEEE International Conference on Software Maintenance and Evolution, ICSME 2018",,,8530030,206,216,,,10.1109/ICSME.2018.00030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058285527&doi=10.1109%2fICSME.2018.00030&partnerID=40&md5=bd5ed51c9f995eb523218c2960e677c9,Conference Paper,Final,,Scopus,2-s2.0-85058285527
"Hassan, M., Hill, E.",57189464096;35760998100;,Toward automatic summarization of arbitrary Java statements for novice programmers,2018,"Proceedings - 2018 IEEE International Conference on Software Maintenance and Evolution, ICSME 2018",,,8530061,539,543,,,10.1109/ICSME.2018.00063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058280452&doi=10.1109%2fICSME.2018.00063&partnerID=40&md5=7a1e7389e2910e370f2aec2ca43cb722,Conference Paper,Final,,Scopus,2-s2.0-85058280452
"Bacher, I., Mac Namee, B., Kelleher, J.D.",57193058993;33568100700;14035902400;,Scoped: Evaluating A Composite Visualisation of the Scope Chain Hierarchy Within Source Code,2018,"Proceedings - 6th IEEE Working Conference on Software Visualization, VISSOFT 2018",,,8530138,117,121,,,10.1109/VISSOFT.2018.00021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058485754&doi=10.1109%2fVISSOFT.2018.00021&partnerID=40&md5=5de7b0258331f3c27ee3bfae4dc41938,Conference Paper,Final,,Scopus,2-s2.0-85058485754
"Bacher, I., Mac Namee, B., Kelleher, J.D.",57193058993;33568100700;14035902400;,The Code Mini-Map Visualisation: Encoding Conceptual Structures Within Source Code,2018,"Proceedings - 6th IEEE Working Conference on Software Visualization, VISSOFT 2018",,,8530140,127,131,,,10.1109/VISSOFT.2018.00023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058448682&doi=10.1109%2fVISSOFT.2018.00023&partnerID=40&md5=0a2f9c11f366e586277a89ff9f272919,Conference Paper,Final,,Scopus,2-s2.0-85058448682
"Said, W., Quante, J., Koschke, R.",57202893881;18435418600;6602106142;,On state machine mining from embedded control software,2018,"Proceedings - 2018 IEEE International Conference on Software Maintenance and Evolution, ICSME 2018",,,8530024,138,148,,3,10.1109/ICSME.2018.00024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058343497&doi=10.1109%2fICSME.2018.00024&partnerID=40&md5=de66f330757d287ab4f589bc622d5571,Conference Paper,Final,,Scopus,2-s2.0-85058343497
"Feiner, J., Andrews, K.",36194711500;56248633800;,RepoVis: Visual Overviews and Full-Text Search in Software Repositories,2018,"Proceedings - 6th IEEE Working Conference on Software Visualization, VISSOFT 2018",,,8530126,1,11,,,10.1109/VISSOFT.2018.00009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058433440&doi=10.1109%2fVISSOFT.2018.00009&partnerID=40&md5=fd4cdb6b06c5c734c201d99b9efe0711,Conference Paper,Final,,Scopus,2-s2.0-85058433440
"Said, W., Quante, J., Koschke, R.",57202893881;18435418600;6602106142;,Reflexion models for state machine extraction and verification,2018,"Proceedings - 2018 IEEE International Conference on Software Maintenance and Evolution, ICSME 2018",,,8530025,149,159,,,10.1109/ICSME.2018.00025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058302586&doi=10.1109%2fICSME.2018.00025&partnerID=40&md5=7395dff2d00135b846be371ae381051f,Conference Paper,Final,,Scopus,2-s2.0-85058302586
"Pizzolotto, D., Ceccato, M.",57205019163;8216098200;,Obfuscating Java programs by translating selected portions of bytecode to native libraries,2018,"Proceedings - 18th IEEE International Working Conference on Source Code Analysis and Manipulation, SCAM 2018",,,8530716,40,49,,1,10.1109/SCAM.2018.00012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058294811&doi=10.1109%2fSCAM.2018.00012&partnerID=40&md5=a9d9303acdf583ccfad80d9bb32742bf,Conference Paper,Final,,Scopus,2-s2.0-85058294811
"Miholca, D.-L., Czibula, G., Marian, Z., Czibula, I.-G.",57105503900;24829228400;36600983800;24474284200;,An unsupervised learning based conceptual coupling measure,2018,"Proceedings - 2017 19th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing, SYNASC 2017",,,8531293,247,254,,,10.1109/SYNASC.2017.00047,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058263088&doi=10.1109%2fSYNASC.2017.00047&partnerID=40&md5=937c845522c19637803bd9d1ebb14ea2,Conference Paper,Final,,Scopus,2-s2.0-85058263088
"Ghaleb, T.A., Alturki, M.A., Aljasser, K.",55932635300;19638637200;55466491900;,Program comprehension through reverse-engineered sequence diagrams: A systematic review,2018,Journal of Software: Evolution and Process,30,11,e1965,,,,1,10.1002/smr.1965,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056447166&doi=10.1002%2fsmr.1965&partnerID=40&md5=a4bd69b0854a61f9014d60405e5af8d2,Article,Final,,Scopus,2-s2.0-85056447166
"Fakhoury, S.",57203228627;,Moving towards objective measures of program comprehension,2018,ESEC/FSE 2018 - Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,,,,936,939,,,10.1145/3236024.3275426,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058298293&doi=10.1145%2f3236024.3275426&partnerID=40&md5=fa616254e351ae436282b82d5d484656,Conference Paper,Final,,Scopus,2-s2.0-85058298293
"Huang, Y., Jia, N., Chen, X., Hong, K., Zheng, Z.",57015731800;56567560800;24279344800;57205029720;25224189400;,Salient-class location: Help developers understand code change in code review,2018,ESEC/FSE 2018 - Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,,,,770,774,,1,10.1145/3236024.3264841,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058264968&doi=10.1145%2f3236024.3264841&partnerID=40&md5=8a30a3f81fb8c874f266d84053efef37,Conference Paper,Final,,Scopus,2-s2.0-85058264968
"Henkel, J., Lahiri, S.K., Liblit, B., Reps, T.",57205025799;8938407600;16301365200;7006765616;,Code vectors: Understanding programs through embedded abstracted symbolic traces,2018,ESEC/FSE 2018 - Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,,,,163,174,,2,10.1145/3236024.3236085,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058331452&doi=10.1145%2f3236024.3236085&partnerID=40&md5=cf57d805dd9672ccbdeca75da2727c03,Conference Paper,Final,,Scopus,2-s2.0-85058331452
"DeFreez, D.",57202888403;,Mining error-handling specifications for systems software,2018,ESEC/FSE 2018 - Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,,,,983,985,,,10.1145/3236024.3275440,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058320416&doi=10.1145%2f3236024.3275440&partnerID=40&md5=0e6b897612e7aa8be750f934c4d748a8,Conference Paper,Final,,Scopus,2-s2.0-85058320416
"DeFreez, D., Thakur, A.V., Rubio-Gonzalez, C.",57202888403;35114147700;28167893700;,Path-based function embedding and its application to error-handling specification mining,2018,ESEC/FSE 2018 - Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,,,,423,433,,2,10.1145/3236024.3236059,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058263272&doi=10.1145%2f3236024.3236059&partnerID=40&md5=a46b7eb3385e1018f1fcd3658bc8ea74,Conference Paper,Final,,Scopus,2-s2.0-85058263272
"Holwerda, R., Hermans, F.",56421923300;35573133300;,A usability analysis of blocks-based programming editors using cognitive dimensions,2018,"Proceedings of IEEE Symposium on Visual Languages and Human-Centric Computing, VL/HCC",2018-October,,8506483,217,225,,1,10.1109/VLHCC.2018.8506483,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056853649&doi=10.1109%2fVLHCC.2018.8506483&partnerID=40&md5=b129f37134788732fcd14d19c0af32fa,Conference Paper,Final,,Scopus,2-s2.0-85056853649
"Jimenez, Y., Kapoor, A., Gardner-Mccune, C.",55804276200;57201773758;55858392400;,Usability challenges that novice programmers experience when using scratch for the first time,2018,"Proceedings of IEEE Symposium on Visual Languages and Human-Centric Computing, VL/HCC",2018-October,,8506560,327,328,,1,10.1109/VLHCC.2018.8506560,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056844252&doi=10.1109%2fVLHCC.2018.8506560&partnerID=40&md5=7834d9384b50f83726ce41551bbac60f,Conference Paper,Final,,Scopus,2-s2.0-85056844252
"Ghosh, A., Kuttal, S.K.",57204734898;42262051400;,Semantic clone detection: Can source code comments help?,2018,"Proceedings of IEEE Symposium on Visual Languages and Human-Centric Computing, VL/HCC",2018-October,,8506550,315,317,,1,10.1109/VLHCC.2018.8506550,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056897370&doi=10.1109%2fVLHCC.2018.8506550&partnerID=40&md5=02e2fc328cfabb5e5b037d555fad36af,Conference Paper,Final,,Scopus,2-s2.0-85056897370
"Peitek, N., Siegmund, J., Parnin, C., Apel, S., Hofmeister, J.C., Brechmann, A.",57202890928;55420344200;15136883200;8725218400;57194043926;6505799448;,Simultaneous measurement of program comprehension with fMRI and eye tracking: A case study,2018,International Symposium on Empirical Software Engineering and Measurement,,,a24,,,,1,10.1145/3239235.3240495,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061492623&doi=10.1145%2f3239235.3240495&partnerID=40&md5=817fca29b160e664d0b223127acaf503,Conference Paper,Final,,Scopus,2-s2.0-85061492623
"Donaldson, P., Cutts, Q.",57194134419;6506695644;,Flexible low-cost activities to develop novice code comprehension skills in schools,2018,ACM International Conference Proceeding Series,,,a17,,,,,10.1145/3265757.3265776,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056719727&doi=10.1145%2f3265757.3265776&partnerID=40&md5=8b4f2e3767b4613da7b5f645ecac7d55,Conference Paper,Final,,Scopus,2-s2.0-85056719727
"Kosar, T., Gaberc, S., Carver, J.C., Mernik, M.",6603257142;57200602467;12446411300;6701780016;,Program comprehension of domain-specific and general-purpose languages: replication of a family of experiments using integrated development environments,2018,Empirical Software Engineering,23,5,,2734,2763,,3,10.1007/s10664-017-9593-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041817185&doi=10.1007%2fs10664-017-9593-2&partnerID=40&md5=08584b57449331c4801a21d3a4bc386c,Article,Final,,Scopus,2-s2.0-85041817185
"Xia, X., Bao, L., Lo, D., Xing, Z., Hassan, A.E., Li, S.",54586248800;56609745200;35269388000;8347413500;7402686972;35275218400;,Measuring Program Comprehension: A Large-Scale Field Study with Professionals,2018,IEEE Transactions on Software Engineering,44,10,7997917,951,976,,2,10.1109/TSE.2017.2734091,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028931582&doi=10.1109%2fTSE.2017.2734091&partnerID=40&md5=fca07ad04aede7b5d3ce0f7ff22fd4df,Article,Final,,Scopus,2-s2.0-85028931582
"Hannebauer, C., Hesenius, M., Gruhn, V.",55575057000;55249675400;7003995554;,Does syntax highlighting help programming novices?,2018,Empirical Software Engineering,23,5,,2795,2828,,1,10.1007/s10664-017-9579-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042619203&doi=10.1007%2fs10664-017-9579-0&partnerID=40&md5=389f1477ced0dd1b2d66ad6d54c8955e,Article,Final,,Scopus,2-s2.0-85042619203
"Palomba, F., Panichella, A., Zaidman, A., Oliveto, R., De Lucia, A.",55321369000;35095519000;18435685400;15136561900;7003641564;,The Scent of a Smell: An Extensive Comparison between Textual and Structural Smells,2018,IEEE Transactions on Software Engineering,44,10,8038053,977,1000,,5,10.1109/TSE.2017.2752171,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030217493&doi=10.1109%2fTSE.2017.2752171&partnerID=40&md5=08076642c9fa25afdcc104371b29f29e,Article,Final,,Scopus,2-s2.0-85030217493
"Malhotra, M., Kumar Chhabra, J.",57205265724;6701779304;,Class Level Code Summarization Based on Dependencies and Micro Patterns,2018,"Proceedings of the International Conference on Inventive Communication and Computational Technologies, ICICCT 2018",,,8473199,1011,1016,,1,10.1109/ICICCT.2018.8473199,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059833045&doi=10.1109%2fICICCT.2018.8473199&partnerID=40&md5=21ac66929f5b64d7d4b42dc8fde6d028,Conference Paper,Final,,Scopus,2-s2.0-85059833045
"Prahofer, H., Bohm, T., Pichler, J.",15056569500;57204419744;24822676900;,Deriving a State Model of a Control Program by Symbolic Execution,2018,"Proceedings - IEEE 16th International Conference on Industrial Informatics, INDIN 2018",,,8472013,754,759,,,10.1109/INDIN.2018.8472013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055591353&doi=10.1109%2fINDIN.2018.8472013&partnerID=40&md5=ed79816a037779360987f34758aacc71,Conference Paper,Final,,Scopus,2-s2.0-85055591353
"Chalabine, M.M.",13410476700;,Refined Fluent Builder in Java,2018,"Proceedings - 17th IEEE/ACIS International Conference on Computer and Information Science, ICIS 2018",,,8466532,537,542,,,10.1109/ICIS.2018.8466532,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055716329&doi=10.1109%2fICIS.2018.8466532&partnerID=40&md5=924fef1c2e6c73e8701e840e2828ff0a,Conference Paper,Final,,Scopus,2-s2.0-85055716329
